gene_symbol	geneid	ensemblid	geneNcbiType	geneDSI	geneDPI	genepLI	uniprotids	protein_classid	protein_class_name	disease_name	diseaseType	diseaseUMLSCUI	diseaseClasses_MSH	diseaseClasses_UMLS_ST	diseaseClasses_DO	diseaseClasses_HPO	numCTsupportingAssociation	numPMIDs	chemicalsIncludedInEvidence	score	yearInitial	yearFinal	evidence_level	evidence_index	diseaseid
UBE3A	7337	ENSG00000114062	protein-coding	0.422	0.957	1	Q05086|Q9H2G0			Expressive language delay	disease	C0454641		Disease or Syndrome (T047)		Abnormality of the nervous system (00707)	0	0		0.4					C0454641
UBE2N	7334	ENSG00000177889	protein-coding	0.657	0.696	0.99915	P61088|V9HW41			Embryo Loss	phenotype	C0752351	Pathological Conditions, Signs and Symptoms (C23)|Urogenital Diseases (C12)	Pathologic Function (T046)			0	1		0.4	2006	2006		1	C0752351
MECP2	4204	ENSG00000169057	protein-coding	0.405	0.957		P51608|D3YJ43|Q59FJ6|A0A140VKC4	DTO_05007378	Epigenetic regulator	Severe congenital encephalopathy due to MECP2 (methyl-CpG binding protein 2) mutation	disease	C4749821	Musculoskeletal Diseases (C05)|Nervous System Diseases (C10)|Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16)	Disease or Syndrome (T047)			0	2		0.4	1993	2008		1	C4749821
UBE2E1	7324	ENSG00000170142	protein-coding	0.722	0.609	0.96186	B7Z306|P51965			Skin Disease	disease	C0037274	Skin and Connective Tissue Diseases (C17)	Disease or Syndrome (T047)	disease of anatomical entity (7)		0	1		0.4	2006	2006		1	C0037274
VCP	7415	ENSG00000165280	protein-coding	0.445	0.957	1	P55072			Stevens-Johnson Syndrome	disease	C0038325	Skin and Connective Tissue Diseases (C17)|Stomatognathic Diseases (C07)|Chemically-Induced Disorders (C25)|Immune System Diseases (C20)	Disease or Syndrome (T047)	disease of anatomical entity (7)		0	1		0.4	2015	2015		1	C0038325
PTPN11	5781	ENSG00000179295	protein-coding	0.383	0.913	1	Q06124			Proportionate small stature	phenotype	C0878660	Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16)|Endocrine System Diseases (C19)|Musculoskeletal Diseases (C05)	Finding (T033)		Growth abnormality (01507)	0	0		0.4					C0878660
PPIA	5478	ENSG00000196262	protein-coding	0.465	0.87	0.98467	P62937|V9HWF5			Mouth Neoplasm	disease	C0026640	Neoplasms (C04)|Stomatognathic Diseases (C07)	Neoplastic Process (T191)		Abnormality of head or neck (00152)|Abnormality of the digestive system (25031)|Neoplasm (02664)	0	1		0.4	2004	2004		1	C0026640
HADHB	3032	ENSG00000138029	protein-coding	0.542	0.826	0.00010519	P55084|F5GZQ3	DTO_05007624	Enzyme	MITOCHONDRIAL TRIFUNCTIONAL PROTEIN DEFICIENCY 2 WITH MYOPATHY AND NEUROPATHY	disease	C5830693		Disease or Syndrome (T047)			0	1		0.4	2014	2014		1	C5830693
RAN	5901	ENSG00000132341	protein-coding	0.541	0.87	0.99995	P62826|B4DV51	DTO_05007584	Enzyme modulator	Carcinoma	disease	C0007097	Neoplasms (C04)	Neoplastic Process (T191)	disease of cellular proliferation (14566)	Neoplasm (02664)	0	2		0.4	2002	2005		1	C0007097
EP300	2033	ENSG00000100393	protein-coding	0.42	0.957	1	Q09472|Q7Z6C1			Rare genetic intellectual disability	disease	C5680527		Mental or Behavioral Dysfunction (T048)			0	0		0.4					C5680527
AIMP1	9255	ENSG00000164022	protein-coding	0.435	0.957	6.2083e-05	Q12904|B4DNK3	DTO_05007624	Enzyme	Muscle Hypotonia	phenotype	C0026827	Nervous System Diseases (C10)|Pathological Conditions, Signs and Symptoms (C23)	Finding (T033)		Abnormality of the musculoskeletal system (33127)	0	0		0.4					C0026827
HNRNPK	3190	ENSG00000165119	protein-coding	0.481	0.87	0.99995	B4DUQ1|P61978	DTO_05007624	Enzyme	9q21.3 microdeletion syndrome	disease	C5679925		Disease or Syndrome (T047)			0	3		0.4	2014	2015		1	C5679925
CLTCL1	8218	ENSG00000070371	protein-coding	0.643	0.739	1.1537e-45	P53675	DTO_05007405	Transporter	Congenital analgesia with severe intellectual disability	disease	C5679994	Nervous System Diseases (C10)|Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16)	Disease or Syndrome (T047)			0	1		0.4	2015	2015		1	C5679994
CLTC	1213	ENSG00000141367	protein-coding	0.55	0.87	1	A0A087WVQ6|Q00610	DTO_05007405	Transporter	Non-specific early-onset epileptic encephalopathy	disease	C5680057		Disease or Syndrome (T047)			0	1		0.4	2017	2017		1	C5680057
DNM2	1785	ENSG00000079805	protein-coding	0.489	0.826	1	Q8N1K8|P50570	DTO_05007584	Enzyme modulator	Sensorimotor peripheral neuropathy	disease	C1112256		Disease or Syndrome (T047)		Abnormality of the nervous system (00707)	0	0		0.4					C1112256
CSNK2A1	1457	ENSG00000101266	protein-coding	0.495	0.87	1	P68400	DTO_03300101	Kinase	Non-specific syndromic intellectual disability	disease	C5568766	Pathological Conditions, Signs and Symptoms (C23)|Behavior and Behavior Mechanisms (F01)|Mental Disorders (F03)|Nervous System Diseases (C10)	Mental or Behavioral Dysfunction (T048)			0	1		0.4	2016	2016		1	C5568766
ALDH18A1	5832	ENSG00000059573	protein-coding	0.502	0.783	0.00012577	P54886	DTO_05007624	Enzyme	Autosomal dominant spastic paraparesis	disease	C1832669	Pathological Conditions, Signs and Symptoms (C23)|Eye Diseases (C11)|Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16)|Nervous System Diseases (C10)	Disease or Syndrome (T047)			0	28		0.4	1975	2023		1	C1832669
CDK6	1021	ENSG00000105810	protein-coding	0.457	0.87	0.99726	Q00534	DTO_03300101	Kinase	BRAIN STEM NEOPL	disease	C0677866	Neoplasms (C04)|Nervous System Diseases (C10)	Neoplastic Process (T191)	disease of anatomical entity (7)|disease of cellular proliferation (14566)		0	1		0.4	2013	2013		1	C0677866
NOTCH1	4851	ENSG00000148400	protein-coding	0.347	0.957	1	P46531			Chemical and Drug Induced Liver Injury	disease	C4277682	Chemically-Induced Disorders (C25)|Digestive System Diseases (C06)	Disease or Syndrome (T047)			0	1		0.4	2019	2019		1	C4277682
SUCLG1	8802	ENSG00000163541	protein-coding	0.585	0.739	3.366e-06	P53597			Neoplasm, Stomach	disease	C0038356	Neoplasms (C04)|Digestive System Diseases (C06)	Neoplastic Process (T191)	disease of cellular proliferation (14566)|disease of anatomical entity (7)	Abnormality of the digestive system (25031)|Neoplasm (02664)	0	1		0.4	2011	2011		1	C0038356
PTPN11	5781	ENSG00000179295	protein-coding	0.383	0.913	1	Q06124			Insufficiency, Tricuspid Valve	disease	C0040961	Cardiovascular Diseases (C14)	Disease or Syndrome (T047)	disease of anatomical entity (7)	Abnormality of the cardiovascular system (01626)	0	1		0.4	2018	2018		1	C0040961
RPL5	6125	ENSG00000122406	protein-coding	0.536	0.826	1	A2RUM7|P46777	DTO_05007557	Nucleic acid binding	Low-set posteriorly rotated ears	phenotype	C1857486		Finding (T033)			0	0		0.4					C1857486
HADHB	3032	ENSG00000138029	protein-coding	0.542	0.826	0.00010519	F5GZQ3|P55084	DTO_05007624	Enzyme	Renal tubular acidosis	disease	C0001126	Urogenital Diseases (C12)|Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16)|Nutritional and Metabolic Diseases (C18)	Disease or Syndrome (T047)	disease of anatomical entity (7)	Abnormality of metabolism/homeostasis (01939)|Abnormality of the genitourinary system (00119)	0	0		0.4					C0001126
CYCS	54205	ENSG00000172115	protein-coding	0.423	0.913	0.97706	G4XXL9|P99999			Methymalonicaciduria	disease	C1855119	Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16)|Nutritional and Metabolic Diseases (C18)	Disease or Syndrome (T047)	genetic disease (630)|disease of metabolism (0014667)	Abnormality of metabolism/homeostasis (01939)|Abnormality of the genitourinary system (00119)	0	1		0.4	2006	2006		1	C1855119
MDM2	4193	ENSG00000135679	protein-coding	0.363	0.913	1	A7UKX8|A0A0A8KB75|Q96DS0|A7UKX7|Q00987|G3XA89|A7UKX9	DTO_05007557	Nucleic acid binding	Pancreatic duct	disease	C0153461	Neoplasms (C04)|Endocrine System Diseases (C19)|Digestive System Diseases (C06)	Neoplastic Process (T191)	disease of anatomical entity (7)|disease of cellular proliferation (14566)		0	0		0.4					C0153461
FASN	2194	ENSG00000169710	protein-coding	0.425	0.957	1	P49327	DTO_05007624	Enzyme	AUTISM SPECTRUM DISORDER	disease	C1510586	Mental Disorders (F03)	Mental or Behavioral Dysfunction (T048)	disease of mental health (150)	Abnormality of the nervous system (00707)	0	3		0.4	2005	2019		1	C1510586
NOTCH1	4851	ENSG00000148400	protein-coding	0.347	0.957	1	P46531			Ehlers-Danlos syndrome, type 3 (disorder)	disease	C0268337	Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16)|Cardiovascular Diseases (C14)|Hemic and Lymphatic Diseases (C15)|Skin and Connective Tissue Diseases (C17)	Disease or Syndrome (T047)	disease of anatomical entity (7)		0	1		0.4	1993	1993		1	C0268337
DNM2	1785	ENSG00000079805	protein-coding	0.489	0.826	1	P50570|Q8N1K8	DTO_05007584	Enzyme modulator	congenital dislocation of wrist	disease	C2183058		Injury or Poisoning (T037)	genetic disease (630)|syndrome (225)|physical disorder (0080015)		0	0		0.4					C2183058
YWHAZ	7534	ENSG00000164924	protein-coding	0.501	0.913	1	D0PNI1|P63104	DTO_05007613	Chaperone	Epithelioma	disease	C1368683	Neoplasms (C04)	Neoplastic Process (T191)	disease of cellular proliferation (14566)		0	1		0.4	2002	2002		1	C1368683
SMAD3	4088	ENSG00000166949	protein-coding	0.398	0.913	0.99998	Q9P0T0|P84022	DTO_05007542	Transcription factor	Thoracic aortic aneurysm, ruptured	disease	C0265010	Respiratory Tract Diseases (C08)|Cardiovascular Diseases (C14)	Disease or Syndrome (T047)	disease of anatomical entity (7)		0	1		0.4	2011	2011		1	C0265010
SMAD3	4088	ENSG00000166949	protein-coding	0.398	0.913	0.99998	Q9P0T0|P84022	DTO_05007542	Transcription factor	Abdominal aortic aneurysm, ruptured	disease	C0265012	Cardiovascular Diseases (C14)	Disease or Syndrome (T047)	disease of anatomical entity (7)		0	1		0.4	2011	2011		1	C0265012
HK2	3099	ENSG00000159399	protein-coding	0.486	0.87	0.015191	P52789	DTO_03300101	Kinase	Disease, Ischemic Heart	disease	C0151744	Cardiovascular Diseases (C14)	Disease or Syndrome (T047)	disease of anatomical entity (7)		0	1		0.4	2005	2005		1	C0151744
MEOX2	4223	ENSG00000106511	protein-coding	0.633	0.696	0.10058	P50222	DTO_05007542	Transcription factor	Disease, Ischemic Heart	disease	C0151744	Cardiovascular Diseases (C14)	Disease or Syndrome (T047)	disease of anatomical entity (7)		0	1		0.4	2005	2005		1	C0151744
ACTB	60	ENSG00000075624	protein-coding	0.426	0.913	1	P60709|Q1KLZ0	DTO_05007530	Cellular structure	Disease, Ischemic Heart	disease	C0151744	Cardiovascular Diseases (C14)	Disease or Syndrome (T047)	disease of anatomical entity (7)		0	1		0.4	2005	2005		1	C0151744
MECP2	4204	ENSG00000169057	protein-coding	0.405	0.957		D3YJ43|Q59FJ6|A0A140VKC4|P51608	DTO_05007378	Epigenetic regulator	Acute respiratory failure	disease	C0264490	Respiratory Tract Diseases (C08)|Nutritional and Metabolic Diseases (C18)	Disease or Syndrome (T047)	disease of anatomical entity (7)		0	1		0.4	2009	2009		1	C0264490
CDK6	1021	ENSG00000105810	protein-coding	0.457	0.87	0.99726	Q00534	DTO_03300101	Kinase	Chloracne	disease	C0263454	Skin and Connective Tissue Diseases (C17)	Disease or Syndrome (T047)			0	1		0.4	2007	2007		1	C0263454
DNM2	1785	ENSG00000079805	protein-coding	0.489	0.826	1	Q8N1K8|P50570	DTO_05007584	Enzyme modulator	congenital dislocation of shoulder region	disease	C0265562	Musculoskeletal Diseases (C05)	Congenital Abnormality (T019)	physical disorder (0080015)|syndrome (225)|genetic disease (630)		0	0		0.4					C0265562
ALDH6A1	4329	ENSG00000119711	protein-coding	0.635	0.652	4.3977e-09	A0A024R6G4|Q02252	DTO_05007624	Enzyme	Amino Acid Metabolism, Inborn Errors	disease	C0002514	Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16)|Nutritional and Metabolic Diseases (C18)	Disease or Syndrome (T047)	disease of metabolism (0014667)|genetic disease (630)		0	1		0.4	2000	2000		1	C0002514
NOTCH1	4851	ENSG00000148400	protein-coding	0.347	0.957	1	P46531			Shone complex	disease	C1868705	Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16)|Cardiovascular Diseases (C14)|Pathological Conditions, Signs and Symptoms (C23)	Disease or Syndrome (T047)			0	0		0.4					C1868705
NOTCH1	4851	ENSG00000148400	protein-coding	0.347	0.957	1	P46531			dissection of artery (diagnosis)	disease	C0002949	Cardiovascular Diseases (C14)	Disease or Syndrome (T047)		Abnormality of the cardiovascular system (01626)	0	0		0.4					C0002949
MARS1	4141	ENSG00000166986	protein-coding	0.548	0.826	8.4117e-17	P56192			Trichothiodystrophy Syndrome	disease	C1955934	Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16)|Skin and Connective Tissue Diseases (C17)	Disease or Syndrome (T047)	genetic disease (630)|syndrome (225)		0	0		0.4					C1955934
PLK1	5347	ENSG00000166851	protein-coding	0.447	0.87	1	P53350	DTO_03300101	Kinase	Trichothiodystrophy Syndrome	disease	C1955934	Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16)|Skin and Connective Tissue Diseases (C17)	Disease or Syndrome (T047)	genetic disease (630)|syndrome (225)		0	0		0.4					C1955934
NOTCH1	4851	ENSG00000148400	protein-coding	0.347	0.957	1	P46531			MPN, U	disease	C1333046		Neoplastic Process (T191)			0	1		0.4	2022	2022		1	C1333046
EP300	2033	ENSG00000100393	protein-coding	0.42	0.957	1	Q7Z6C1|Q09472			Microcephaly, congenital	disease	C2677180	Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16)|Nervous System Diseases (C10)|Musculoskeletal Diseases (C05)	Congenital Abnormality (T019)		Abnormality of head or neck (00152)|Abnormality of the musculoskeletal system (33127)|Abnormality of the nervous system (00707)	0	0		0.4					C2677180
SRPK2	6733	ENSG00000135250	protein-coding	0.639	0.739	1	P78362|C9J2M4	DTO_03300101	Kinase	Bipolar Depression	disease	C0005587	Mental Disorders (F03)	Mental or Behavioral Dysfunction (T048)	disease of mental health (150)		0	1		0.4	2019	2019		1	C0005587
CHD3	1107	ENSG00000170004	protein-coding	0.595	0.696	1	B3KWV4|Q2TAZ1|Q12873|A0A8V8TR54			Hereditary prostate cancer	disease	C2931456	Urogenital Diseases (C12)|Neoplasms (C04)	Neoplastic Process (T191)			0	1		0.4	2018	2018		1	C2931456
RANBP2	5903	ENSG00000153201	protein-coding	0.579	0.739	1	P49792	DTO_05007584	Enzyme modulator	MYOTONIA, POTASSIUM-AGGRAVATED	disease	C2931826	Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16)|Nervous System Diseases (C10)|Musculoskeletal Diseases (C05)	Disease or Syndrome (T047)			0	0		0.4					C2931826
ELF3	1999	ENSG00000163435	protein-coding	0.518	0.913	0.0147	P78545	DTO_05007542	Transcription factor	lung injury	disease	C0273115	Respiratory Tract Diseases (C08)	Injury or Poisoning (T037)			0	1		0.4	2011	2011		1	C0273115
ALDH18A1	5832	ENSG00000059573	protein-coding	0.502	0.783	0.00012577	P54886	DTO_05007624	Enzyme	Cutis laxa, recessive	disease	C2931134	Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16)|Skin and Connective Tissue Diseases (C17)	Disease or Syndrome (T047)			0	0		0.4					C2931134
RANBP2	5903	ENSG00000153201	protein-coding	0.579	0.739	1	P49792	DTO_05007584	Enzyme modulator	Ectodermal Dysplasias	disease	C0013575	Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16)|Skin and Connective Tissue Diseases (C17)	Disease or Syndrome (T047)	syndrome (225)	Abnormality of the integument (01574)	0	1		0.4	2006	2006		1	C0013575
SUMO1	7341	ENSG00000116030	protein-coding	0.547	0.87	0.63844	P63165			complete unilateral cleft lip	disease	C0158651	Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16)|Stomatognathic Diseases (C07)	Congenital Abnormality (T019)	disease of anatomical entity (7)|syndrome (225)|physical disorder (0080015)		0	1		0.4	2006	2006		1	C0158651
DNM2	1785	ENSG00000079805	protein-coding	0.489	0.826	1	Q8N1K8|P50570	DTO_05007584	Enzyme modulator	Congenital deformity of clavicle	disease	C0158760	Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16)|Musculoskeletal Diseases (C05)|Respiratory Tract Diseases (C08)	Congenital Abnormality (T019)	genetic disease (630)|syndrome (225)|physical disorder (0080015)		0	0		0.4					C0158760
MECP2	4204	ENSG00000169057	protein-coding	0.405	0.957		Q59FJ6|P51608|A0A140VKC4|D3YJ43	DTO_05007378	Epigenetic regulator	Postnatal growth failure	phenotype	C1859778	Pathological Conditions, Signs and Symptoms (C23)	Finding (T033)		Growth abnormality (01507)	0	0		0.4					C1859778
MKRN3	7681	ENSG00000179455	protein-coding	0.595	0.739	0.28367	Q13064	DTO_05007624	Enzyme	CRC	disease	C0009402	Digestive System Diseases (C06)|Neoplasms (C04)	Neoplastic Process (T191)	disease of cellular proliferation (14566)|disease of anatomical entity (7)		0	0		0.4					C0009402
SRPK2	6733	ENSG00000135250	protein-coding	0.639	0.739	1	C9J2M4|P78362	DTO_03300101	Kinase	Mixed bipolar disorder, NOS	disease	C0236780	Mental Disorders (F03)	Mental or Behavioral Dysfunction (T048)	disease of mental health (150)		0	1		0.4	2019	2019		1	C0236780
XIAP	331	ENSG00000101966	protein-coding	0.425	0.913		B2R9R2|P98170	DTO_05007584	Enzyme modulator	AMYOTROPHIC LATERAL SCLEROSIS 1	disease	C1862939	Nutritional and Metabolic Diseases (C18)|Nervous System Diseases (C10)	Disease or Syndrome (T047)	genetic disease (630)|disease of anatomical entity (7)		0	1		0.4	2002	2002		1	C1862939
SMAD3	4088	ENSG00000166949	protein-coding	0.398	0.913	0.99998	Q9P0T0|P84022	DTO_05007542	Transcription factor	Thoracoabdominal aortic aneurysm, ruptured	disease	C1305122	Cardiovascular Diseases (C14)	Disease or Syndrome (T047)	disease of anatomical entity (7)		0	1		0.4	2011	2011		1	C1305122
TRAF3	7187	ENSG00000131323	protein-coding	0.52	0.913	1	Q13114|A6NHG8	DTO_05007599	Signaling	Encephalopathy	disease	C0085584	Nervous System Diseases (C10)	Disease or Syndrome (T047)	disease of anatomical entity (7)	Abnormality of the nervous system (00707)	0	0		0.4					C0085584
VCP	7415	ENSG00000165280	protein-coding	0.445	0.957	1	P55072			Cytomegalovirus	disease	C0010823	Infections (C01)	Disease or Syndrome (T047)			0	1		0.4	2017	2017		1	C0010823
NUP98	4928	ENSG00000110713	protein-coding	0.591	0.609	1	P52948	DTO_05007624	Enzyme	Cancer, Breast	disease	C0006142	Skin and Connective Tissue Diseases (C17)|Neoplasms (C04)	Neoplastic Process (T191)	disease of cellular proliferation (14566)|disease of anatomical entity (7)		0	0		0.4					C0006142
NOTCH1	4851	ENSG00000148400	protein-coding	0.347	0.957	1	P46531			Atresias, Esophageal	disease	C0014850	Digestive System Diseases (C06)|Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16)	Congenital Abnormality (T019)	disease of anatomical entity (7)	Abnormality of the digestive system (25031)	0	0		0.4					C0014850
RANBP2	5903	ENSG00000153201	protein-coding	0.579	0.739	1	P49792	DTO_05007584	Enzyme modulator	Ectodermal Dysplasia, Hypohidrotic, Autosomal Recessive	disease	C0406702	Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16)|Skin and Connective Tissue Diseases (C17)	Congenital Abnormality (T019)			0	24		0.4	1999	2017		1	C0406702
NOTCH1	4851	ENSG00000148400	protein-coding	0.347	0.957	1	P46531			obsolete Abnormal vena cava morphology	disease	C4476886		Anatomical Abnormality (T190)		Abnormality of the cardiovascular system (01626)	0	0		0.4					C4476886
VCP	7415	ENSG00000165280	protein-coding	0.445	0.957	1	P55072			Spastic paraplegia with Paget disease of bone syndrome (disorder)	disease	C4511969	Musculoskeletal Diseases (C05)|Nervous System Diseases (C10)|Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16)	Disease or Syndrome (T047)			0	1		0.4	2012	2012		1	C4511969
CHD3	1107	ENSG00000170004	protein-coding	0.595	0.696	1	Q2TAZ1|B3KWV4|A0A8V8TR54|Q12873			Neoplasm, Prostatic	disease	C0033578	Neoplasms (C04)|Urogenital Diseases (C12)	Neoplastic Process (T191)	disease of cellular proliferation (14566)|disease of anatomical entity (7)	Neoplasm (02664)|Abnormality of the genitourinary system (00119)	0	1		0.4	2018	2018		1	C0033578
FASN	2194	ENSG00000169710	protein-coding	0.425	0.957	1	P49327	DTO_05007624	Enzyme	Dysmorphic facies	phenotype	C0424503		Finding (T033)		Abnormality of head or neck (00152)	0	0		0.4					C0424503
TPI1	7167	ENSG00000111669	protein-coding	0.506	0.87	0.87357	Q53HE2|P60174|V9HWK1	DTO_05007624	Enzyme	Manifestation, Neuromuscular	phenotype	C0752252	Pathological Conditions, Signs and Symptoms (C23)|Nervous System Diseases (C10)	Sign or Symptom (T184)			0	2		0.4	1986	1993		1	C0752252
CDC42	998	ENSG00000070831	protein-coding	0.443	0.87	0.87196	P60953	DTO_05007584	Enzyme modulator	Abnormal;haematological	phenotype	C0850715		Finding (T033)		Abnormality of blood and blood-forming tissues (01871)	0	1		0.4	2018	2018		1	C0850715
ATXN1	6310	ENSG00000124788	protein-coding	0.515	0.87	1	Q96FF1|P54253			Retinopathy	disease	C0035309	Eye Diseases (C11)	Disease or Syndrome (T047)	disease of anatomical entity (7)	Abnormality of the eye (00478)	0	1		0.4	2017	2017		1	C0035309
MECP2	4204	ENSG00000169057	protein-coding	0.405	0.957		Q59FJ6|P51608|D3YJ43|A0A140VKC4	DTO_05007378	Epigenetic regulator	Psychomotor Disorders	disease	C0033922	Behavior and Behavior Mechanisms (F01)|Nervous System Diseases (C10)|Pathological Conditions, Signs and Symptoms (C23)	Mental or Behavioral Dysfunction (T048)			0	1		0.4	2010	2010		1	C0033922
DNM2	1785	ENSG00000079805	protein-coding	0.489	0.826	1	Q8N1K8|P50570	DTO_05007584	Enzyme modulator	Congenital deformity of wrist	disease	C0750442		Congenital Abnormality (T019)	genetic disease (630)|physical disorder (0080015)|syndrome (225)		0	0		0.4					C0750442
GSK3B	2932	ENSG00000082701	protein-coding	0.377	0.957	0.89836	P49841|Q6FI27	DTO_03300101	Kinase	Batten Spielmeyer Vogt Disease	disease	C0751383	Nutritional and Metabolic Diseases (C18)|Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16)|Nervous System Diseases (C10)	Disease or Syndrome (T047)	genetic disease (630)|disease of metabolism (0014667)		0	1		0.4	2013	2013		1	C0751383
FASN	2194	ENSG00000169710	protein-coding	0.425	0.957	1	P49327	DTO_05007624	Enzyme	Clinodactyly	disease	C4551485	Musculoskeletal Diseases (C05)|Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16)	Congenital Abnormality (T019)		Abnormality of the musculoskeletal system (33127)|Abnormality of limbs (40064)	0	0		0.4					C4551485
CSNK2A1	1457	ENSG00000101266	protein-coding	0.495	0.87	1	P68400	DTO_03300101	Kinase	Cancer, Squamous Cell	disease	C0751688	Neoplasms (C04)	Neoplastic Process (T191)	disease of cellular proliferation (14566)	Neoplasm (02664)|Abnormality of the integument (01574)	0	1		0.4	2008	2008		1	C0751688
EP300	2033	ENSG00000100393	protein-coding	0.42	0.957	1	Q7Z6C1|Q09472			Cancer, Squamous Cell	disease	C0751688	Neoplasms (C04)	Neoplastic Process (T191)	disease of cellular proliferation (14566)	Neoplasm (02664)|Abnormality of the integument (01574)	0	1		0.4	2016	2016		1	C0751688
MARS1	4141	ENSG00000166986	protein-coding	0.548	0.826	8.4117e-17	P56192			Hereditary Spastic Paraplegias	disease	C0037773	Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16)|Nervous System Diseases (C10)	Disease or Syndrome (T047)	genetic disease (630)|disease of anatomical entity (7)		0	2		0.4	1993	2017		1	C0037773
CSNK2A1	1457	ENSG00000101266	protein-coding	0.495	0.87	1	P68400	DTO_03300101	Kinase	Neoplasm, Skin	disease	C0037286	Skin and Connective Tissue Diseases (C17)|Neoplasms (C04)	Neoplastic Process (T191)	disease of cellular proliferation (14566)|disease of anatomical entity (7)	Abnormality of the integument (01574)|Neoplasm (02664)	0	1		0.4	2008	2008		1	C0037286
PTPN11	5781	ENSG00000179295	protein-coding	0.383	0.913	1	Q06124			Dysplastic ears	disease	C0857379		Congenital Abnormality (T019)		Abnormality of the ear (00598)	0	0		0.4					C0857379
CHD3	1107	ENSG00000170004	protein-coding	0.595	0.696	1	Q2TAZ1|B3KWV4|A0A8V8TR54|Q12873			Seizure	phenotype	C0036572	Nervous System Diseases (C10)|Pathological Conditions, Signs and Symptoms (C23)	Sign or Symptom (T184)		Abnormality of the nervous system (00707)	0	0		0.4					C0036572
MECP2	4204	ENSG00000169057	protein-coding	0.405	0.957		Q59FJ6|P51608|D3YJ43|A0A140VKC4	DTO_05007378	Epigenetic regulator	Stridor	phenotype	C0038450	Pathological Conditions, Signs and Symptoms (C23)	Sign or Symptom (T184)		Abnormality of the respiratory system (02086)	0	1		0.4	2020	2020		1	C0038450
QARS1	5859	ENSG00000172053	protein-coding	0.637	0.652	5.8152e-19	P47897|B7Z840	DTO_05007624	Enzyme	Small hands	phenotype	C0575802	Musculoskeletal Diseases (C05)	Finding (T033)		Abnormality of the musculoskeletal system (33127)|Abnormality of limbs (40064)	0	0		0.4					C0575802
CDK6	1021	ENSG00000105810	protein-coding	0.457	0.87	0.99726	Q00534	DTO_03300101	Kinase	Carcinoma, Pancreas Duct-Cell	disease	C0887833	Neoplasms (C04)|Endocrine System Diseases (C19)|Digestive System Diseases (C06)	Neoplastic Process (T191)	disease of anatomical entity (7)|disease of cellular proliferation (14566)		0	0		0.4					C0887833
QARS1	5859	ENSG00000172053	protein-coding	0.637	0.652	5.8152e-19	P47897|B7Z840	DTO_05007624	Enzyme	Insomnia	phenotype	C0917801	Nervous System Diseases (C10)|Mental Disorders (F03)	Sign or Symptom (T184)		Abnormality of the nervous system (00707)	0	0		0.4					C0917801
CDC42	998	ENSG00000070831	protein-coding	0.443	0.87	0.87196	P60953	DTO_05007584	Enzyme modulator	Epithelioma, malignant	disease	C0553707	Neoplasms (C04)	Neoplastic Process (T191)	disease of cellular proliferation (14566)		0	1		0.4	2005	2005		1	C0553707
QARS1	5859	ENSG00000172053	protein-coding	0.637	0.652	5.8152e-19	B7Z840|P47897	DTO_05007624	Enzyme	Diffuse cerebral and cerebellar atrophy, intractable seizures, progressive microcephaly syndrome	disease	C5190583	Musculoskeletal Diseases (C05)|Nervous System Diseases (C10)|Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16)	Disease or Syndrome (T047)			0	1		0.4	2014	2014		1	C5190583
ALDH6A1	4329	ENSG00000119711	protein-coding	0.635	0.652	4.3977e-09	Q02252|A0A024R6G4	DTO_05007624	Enzyme	Developmental delay due to ALDH6A1 (aldehyde dehydrogenase 6 family member A1) deficiency	disease	C5190633		Disease or Syndrome (T047)			0	2		0.4	2000	2012		1	C5190633
DLG4	1742	ENSG00000132535	protein-coding	0.55	0.783	1	P78352|B7Z4H2|B9EGL1|B7Z647	DTO_05007575	Receptor	MRD62	disease	C5394083		Disease or Syndrome (T047)			0	5		0.4	1993	2021		1	C5394083
